Tweets,Reformed_Tweets,sentiment_scores,compound_score,sentiment
is strangely sad about LiLo and SamRo breaking up. ,strangely sa lilo samro breaking,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative
@tea oh! i'm so sorry  i didn't think about that before retweeting.,oh im sorry int think retweeting,"{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.0772}",-0.0772,Negative
Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ,broaban plan massive broken promise via wwwiigocomtautao still waiting broaban,"{'neg': 0.231, 'neu': 0.597, 'pos': 0.172, 'compound': -0.2023}",-0.2023,Negative
"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. ",wow ton reply may unfollow see friens tweet youre scrolling fee lot,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.5859}",0.5859,Positive
our duck and chicken are taking wayyy too long to hatch ,uck chicken taking wayyy long hatch,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ",put vacation photo online yr ago pc crashe forget name site,"{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.2263}",-0.2263,Negative
I need a hug ,nee hug,"{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.4767}",0.4767,Positive
"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! ",sure po much want ont think trae away company asset sorry,"{'neg': 0.288, 'neu': 0.353, 'pos': 0.359, 'compound': 0.0516}",0.0516,Positive
@oanhLove I hate when that happens... ,hate happens,"{'neg': 0.787, 'neu': 0.213, 'pos': 0.0, 'compound': -0.5719}",-0.5719,Negative
"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm",sa feeling allas going show gotta say though think show woul use music game mmm,"{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.128}",0.128,Positive
Ugh....92 degrees tomorrow ,ugh92 egrees tomorrow,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.,u move thought u alreay hmmm ranom u foun gla hear yer oing well,"{'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.6808}",0.6808,Positive
"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?",miss ps3 commission wutcha playing coppe bloo san,"{'neg': 0.17, 'neu': 0.638, 'pos': 0.191, 'compound': 0.0516}",0.0516,Positive
just leaving the parking lot of work! ,leaving parking lot work,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
The Life is cool. But not for Me. ,life cool,"{'neg': 0.0, 'neu': 0.303, 'pos': 0.697, 'compound': 0.3182}",0.3182,Positive
"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. ",saly though ive never gotten experience post coitus cigarette never,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
I had such a nice day. Too bad the rain comes in tomorrow at 5am ,ha nice ay ba rain come tomorrow 5am,"{'neg': 0.0, 'neu': 0.536, 'pos': 0.464, 'compound': 0.6369}",0.6369,Positive
@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,ba wont aroun lost job cant even pay phone bill lmao aw shuck,"{'neg': 0.0, 'neu': 0.583, 'pos': 0.417, 'compound': 0.7317}",0.7317,Positive
Damm back to school tomorrow ,amm back school tomorrow,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?",mo job money hell min wage 4 fn clam hour,"{'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.6808}",-0.6808,Negative
@katortiz  Not forever... See you soon!,forever see soon,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"@Lt_Algonquin agreed, I saw the failwhale allllll day today. ",agree saw failwhale allllll ay toay,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",0.3612,Positive
@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!,oh haha ue ont really look em unless someone say hey ae sorry im terrible nee pop,"{'neg': 0.206, 'neu': 0.654, 'pos': 0.14, 'compound': -0.1027}",-0.1027,Negative
@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!,im sure youre right nee start working nikster jare least,"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.3182}",0.3182,Positive
i really hate how people diss my bands!  Trace is clearly NOT ugly!,really hate people i ban trace clearly ugly,"{'neg': 0.662, 'neu': 0.178, 'pos': 0.16, 'compound': -0.8576}",-0.8576,Negative
"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.",gym attire toay puma singlet aias shortsan black business sock leather shoe lucky run cute girl,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.7003}",0.7003,Positive
Why won't you show my location?!   http://twitpic.com/2y2es,wont show location,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
No picnic  my phone smells like citrus.,picnic phone smell like citrus,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",0.3612,Positive
"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. ",onkey sensitive comment nevertheless gla see mug asap charger still awol,"{'neg': 0.155, 'neu': 0.608, 'pos': 0.236, 'compound': 0.296}",0.296,Positive
No new csi tonight.  FML,new csi tonight fml,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
i think my arms are sore from tennis ,think arm sore tennis,"{'neg': 0.455, 'neu': 0.545, 'pos': 0.0, 'compound': -0.3612}",-0.3612,Negative
wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ,woners someone u like much make unhappy split seccon epresse,"{'neg': 0.228, 'neu': 0.569, 'pos': 0.203, 'compound': -0.0772}",-0.0772,Negative
sleep soon... i just hate saying bye and see you tomorrow for the night. ,sleep soon hate saying bye see tomorrow night,"{'neg': 0.346, 'neu': 0.654, 'pos': 0.0, 'compound': -0.5719}",-0.5719,Negative
"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ",got ur newsletter fare really unbelievable shame alreay booke pai mine,"{'neg': 0.233, 'neu': 0.622, 'pos': 0.145, 'compound': -0.315}",-0.315,Negative
missin' the boo ,missin boo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
@markhardy1974 Me too  #itm,itm,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Damn... I don't have any chalk! MY CHALKBOARD IS USELESS ,amn ont chalk chalkboar useless,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.4215}",-0.4215,Negative
"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too ",ha blast getty villa hate ha sore throat ay getting worse,"{'neg': 0.463, 'neu': 0.299, 'pos': 0.239, 'compound': -0.6705}",-0.6705,Negative
@msdrama hey missed ya at the meeting  sup mama,hey misse ya meeting sup mama,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!",tummy hurt woner hypnosis anything working get stop smoking,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.6808}",-0.6808,Negative
why is it always the fat ones?! ,always fat one,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*",sorry babe fam annoys thankfully theyre asleep right muahaha evil laugh,"{'neg': 0.407, 'neu': 0.287, 'pos': 0.306, 'compound': -0.2732}",-0.2732,Negative
@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,shoul pai attention covere photoshop webpage esign class unergra,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
wednesday my b-day! don't know what 2 do!! ,wenesay bay ont know 2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Poor cameron (the hills) ,poor cameron hill,"{'neg': 0.608, 'neu': 0.392, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative
"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache ",pray please ex threatening start sh myour baby 1st birthay party jerk still heaache,"{'neg': 0.262, 'neu': 0.407, 'pos': 0.33, 'compound': 0.128}",0.128,Positive
"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike",hmm u really enjoy problem constant u shoul think thing fin someone ulike,"{'neg': 0.193, 'neu': 0.582, 'pos': 0.226, 'compound': 0.1317}",0.1317,Positive
Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435,strier sick little puppy,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.5106}",-0.5106,Negative
"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....",ryleegracewana go steve party saly since easter wnt b able 2 much ohh well,"{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.5859}",0.5859,Positive
"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money ",hey actually one bracket pool ba wasnt one money,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"@stark YOU don't follow me, either  and i work for you!",ont follow either work,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,ba nite favorite team astros spartan lose nite tw goo,"{'neg': 0.197, 'neu': 0.584, 'pos': 0.219, 'compound': 0.0772}",0.0772,Positive
 Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji,boy missing northern calif girl foun police foun remains missing northern california girl,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.5267}",-0.5267,Negative
"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... ",hope increase capacity fast yesteray pain got fail whale 15 time 2 hour,"{'neg': 0.34, 'neu': 0.4, 'pos': 0.26, 'compound': -0.3818}",-0.3818,Negative
Behind on my classes for work ,behin class work,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
watching &quot;House&quot; ,watching quothousequot,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
@kpreyes Remember my bum leg? Strikes back this time its serious ,remember bum leg strike back time serious,"{'neg': 0.359, 'neu': 0.641, 'pos': 0.0, 'compound': -0.2023}",-0.2023,Negative
"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls ",cool kin complaint laptop online overheating recall,"{'neg': 0.232, 'neu': 0.526, 'pos': 0.242, 'compound': 0.0258}",0.0258,Positive
Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014,emily gla mommy one training new job miss,"{'neg': 0.144, 'neu': 0.541, 'pos': 0.315, 'compound': 0.4404}",0.4404,Positive
would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?,woul rather first party sen ba message 3r party sen mixe one sophmore year,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.6597}",0.6597,Positive
@Henkuyinepu it's overrated ,overrate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times ,know hear afternoon wonere thing moscow behin time,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
laying in bed with no voice.. ,laying voice,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy,im sooo sa kille kutner house whyyyyyyyy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.,sorry tell mea culpa really sorry,"{'neg': 0.394, 'neu': 0.606, 'pos': 0.0, 'compound': -0.1531}",-0.1531,Negative
"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. ",int make sense suicie thing refuse believe actually happene,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative
@salancaster  hope your ok.,hope ok,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",0.6249,Positive
@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love,amn grin inspirational saening time ont want stop cuz like u much love,"{'neg': 0.097, 'neu': 0.265, 'pos': 0.637, 'compound': 0.9042}",0.9042,Positive
@HibaNick yeah aw but i know i wudnt stand a chance ,yeah aw know wunt stan chance,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.4939}",0.4939,Positive
ugh. cant sleep. its 1:30am. ,ugh cant sleep 130am,"{'neg': 0.483, 'neu': 0.517, 'pos': 0.0, 'compound': -0.4215}",-0.4215,Negative
Hanging in Crooners. Wanna sing. Can't. Sucks. ,hanging crooner wanna sing cant suck,"{'neg': 0.0, 'neu': 0.675, 'pos': 0.325, 'compound': 0.3412}",0.3412,Positive
@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! ,aaw miss ya im leaving bh tomorrow quotmorningquot think aww wanna go beach w u girl,"{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.1531}",-0.1531,Negative
Is pissed off that there's no ASBA's for a radio station. ,pisse asba raio station,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
wednesday my b-day n don't know what 2 do!  ,wenesay bay n ont know 2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. ,know life flippe upsie thought hea ramen souns goo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
I am in pain. My back and sides hurt. Not to mention crying is made of fail. ,pain back sies hurt mention cry mae fail,"{'neg': 0.769, 'neu': 0.231, 'pos': 0.0, 'compound': -0.9231}",-0.9231,Negative
"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... ",late night snack glass oj bc im quotown sicknessquot back sleepugh hate getting sick,"{'neg': 0.368, 'neu': 0.632, 'pos': 0.0, 'compound': -0.7906}",-0.7906,Negative
@allyheman but.. but.. but.. I'm not a big fan on camilla belle ,im big fan camilla belle,"{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.3182}",0.3182,Positive
"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine ",wah cant see clip must elstupio work filter cant wait till get puter something else 2 blame ex 4 broke mine,"{'neg': 0.234, 'neu': 0.766, 'pos': 0.0, 'compound': -0.6369}",-0.6369,Negative
This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done ,week seems get longer longer term much nee much im actually going get one,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
I'm so cold ,im col,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow ,ehhh ont weather gonna take turn ugly tomorrow,"{'neg': 0.32, 'neu': 0.68, 'pos': 0.0, 'compound': -0.5106}",-0.5106,Negative
@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff,haha coooool shoul still go show increible stuff,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.4588}",0.4588,Positive
Hoping the tummy rumbles go away soon ,hoping tummy rumble go away soon,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.4215}",0.4215,Positive
"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. ",notice tol working tomorrow calle agency follow sai,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
almost bedtime ,almost betime,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart,im missing babe long alive im happy yawwwnn im tire love imma try sleep hopefully ha heastart,"{'neg': 0.076, 'neu': 0.382, 'pos': 0.542, 'compound': 0.9246}",0.9246,Positive
Agh...snow!!! ,aghsnow,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
i miss kenny powers ,miss kenny power,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.1531}",-0.1531,Negative
"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget ",thank letting people know im sa irect message got wasnt actually briget,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.3612}",0.3612,Positive
